15000;Estudiante 15000;4.7
14999;Estudiante 14999;5.2375
1;Estudiante 00001;4.7875
14997;Estudiante 14997;4.8375
14996;Estudiante 14996;5.05
14995;Estudiante 14995;4.8375
14994;Estudiante 14994;6.225
14993;Estudiante 14993;5.9625
14992;Estudiante 14992;5.675
2;Estudiante 00002;5.5875
14990;Estudiante 14990;4.6875
14989;Estudiante 14989;6.525
14988;Estudiante 14988;5.875
14987;Estudiante 14987;4.925
14986;Estudiante 14986;6.6375
14985;Estudiante 14985;5.7875
14984;Estudiante 14984;4.725
14983;Estudiante 14983;5.025
14982;Estudiante 14982;5.3125
14981;Estudiante 14981;4.925
3;Estudiante 00003;6.4625
14979;Estudiante 14979;6.4125
14978;Estudiante 14978;5.7375
5;Estudiante 00005;5.5875
14976;Estudiante 14976;5.1625
14975;Estudiante 14975;5.05
14974;Estudiante 14974;5.525
14973;Estudiante 14973;5.5625
14972;Estudiante 14972;4.75
14971;Estudiante 14971;6.55
14970;Estudiante 14970;5.825
14969;Estudiante 14969;5.9625
14968;Estudiante 14968;4.675
14967;Estudiante 14967;6.575
14966;Estudiante 14966;5.55
6;Estudiante 00006;6.25
14964;Estudiante 14964;5.7
14963;Estudiante 14963;6.25
14962;Estudiante 14962;4.8375
14961;Estudiante 14961;5.6625
10;Estudiante 00010;5.775
14959;Estudiante 14959;5.75
11;Estudiante 00011;4.65
14957;Estudiante 14957;5.6625
14956;Estudiante 14956;6.5875
14955;Estudiante 14955;6.5375
14954;Estudiante 14954;6.4
14953;Estudiante 14953;5.3375
14952;Estudiante 14952;6.4625
14951;Estudiante 14951;5.3375
14950;Estudiante 14950;6.3625
12;Estudiante 00012;4.8125
14948;Estudiante 14948;4.675
14947;Estudiante 14947;5.45
13;Estudiante 00013;4.875
14945;Estudiante 14945;4.8
14944;Estudiante 14944;5.9875
14943;Estudiante 14943;5.6625
14942;Estudiante 14942;5.2625
14941;Estudiante 14941;5.75
14;Estudiante 00014;4.75
14939;Estudiante 14939;6.5375
14938;Estudiante 14938;5.7
14937;Estudiante 14937;6.1
14936;Estudiante 14936;6.5625
14935;Estudiante 14935;6.4375
14934;Estudiante 14934;5.55
14933;Estudiante 14933;6.075
14932;Estudiante 14932;6.525
14931;Estudiante 14931;4.6125
14930;Estudiante 14930;6.4875
14929;Estudiante 14929;5.825
14928;Estudiante 14928;4.9625
14927;Estudiante 14927;4.625
14926;Estudiante 14926;6.2875
14925;Estudiante 14925;5.9875
14924;Estudiante 14924;4.9875
14923;Estudiante 14923;6.5
14922;Estudiante 14922;5.2
14921;Estudiante 14921;6.2375
14920;Estudiante 14920;6.225
14919;Estudiante 14919;4.9875
14918;Estudiante 14918;5.35
14917;Estudiante 14917;4.85
14916;Estudiante 14916;5.5625
14915;Estudiante 14915;5.2375
15;Estudiante 00015;5.9125
14913;Estudiante 14913;5.4
16;Estudiante 00016;4.675
19;Estudiante 00019;5.5875
14910;Estudiante 14910;5.0375
14909;Estudiante 14909;6.35
14908;Estudiante 14908;6.525
20;Estudiante 00020;5.0875
14906;Estudiante 14906;6.05
14905;Estudiante 14905;4.675
14904;Estudiante 14904;5.775
14903;Estudiante 14903;4.725
14902;Estudiante 14902;4.9
14901;Estudiante 14901;5.6
